Restaurant,Food Item,Serving Size,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Proteins,Vitamin A,Vitamin C,Calcium,Iron
Common Food,jam,1 tbsp ( 20g ),55.6,0,0,0,,0,6.4,13.8,0.22,9.7,0.07,0,2.9,0.4,0.7
Common Food,jamaican patty,1 patty ( 142g ),402.3,198,22.7,7.5,0.6619,66.5,537.7,31.9,1.87,1.05,16.56,44.5,1.3,4.1,25.4
Common Food,jambalaya,1 serving (about 2 cups) ( 492.6g ),768.1,324,36.4,9.3,0.165,146.2,2524.2,72.7,1.99,3.62,35.12,90.3,44.6,7.8,17.7
Common Food,jameson,1 shot ( 42g ),97,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.1
Common Food,japanese fried rice,1 cup ( 184.11g ),252.8,81,9.4,1.4,0.1663,94,409.6,30.8,1.99,2.66,10.64,212.7,7.5,3.3,8
Common Food,jarlsberg,1 oz ( 28.35g ),111.4,72,8.8,5.2,0.2798,26.4,53,0.4,0,0,7.64,29.7,0,22.9,0.3
Common Food,jarritos,1 can or bottle (16 fl oz) ( 496g ),238.1,0,0,0,0,0,59.5,61,0,,0,0,0,2.3,2.1
Common Food,jasmine rice,1 cup ( 158g ),205.4,0,0.4,0.1,,0,1.6,44.5,0.63,0.08,4.25,0,0,1.4,13.5
Common Food,jasons deli mozzerella cheese,3 Slices ( 113.4g ),340,252,28,20,0.5,90,710,2,0,0,25,,,,
Common Food,jell o,0.5 cup ( 135g ),83.7,0,0,0,,0,101.2,19.2,0,18.21,1.65,0,0,0.4,0.2
Common Food,jello,0.5 cup ( 135g ),83.7,0,0,0,,0,101.2,19.2,0,18.21,1.65,0,0,0.4,0.2
Common Food,jello o reduced calorie pudding snacks chocolate vanilla swirls,1 snack ( 103g ),60,9,1.5,1,0,0,170,10,0.5,0,1,0,0,9.1,2.6
Common Food,jello pudding,"1 container refrigerated, 4 oz ( 108g )",153.4,36,5,1.4,,1.1,164.2,24.9,0,18.54,2.26,5,0.5,5,9.8
Common Food,jello sugar free pudding,0.5 cup ( 130g ),90.6,18,2.1,1.1,0.0043,47.6,198.7,11.5,0.03,8.17,5.22,27.8,0,13.2,1.8
Common Food,jelly,1 serving 1 tbsp ( 21g ),55.9,0,0,0,,0,6.3,14.7,0.21,10.76,0.03,0.1,0.3,0.1,0.3
Common Food,jelly beans,10 small ( 11g ),41.2,0,0,0,,0,5.5,10.3,0.02,7.7,0,0,0,0,0.1
Common Food,jelly belly,10 small ( 11g ),41.2,0,0,0,,0,5.5,10.3,0.02,7.7,0,0,0,0,0.1
Common Food,jelly donuts,1 doughnut oval ( 85g ),289,135,15.9,4.1,,22.1,386.8,33.1,0.77,17.93,5.01,6,0,1.9,10.7
